"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0400000US01","Alabama","4876250","*****"
"0400000US02","Alaska","737068","*****"
"0400000US04","Arizona","7050299","*****"
"0400000US05","Arkansas","2999370","*****"
"0400000US06","California","39283497","*****"
"0400000US08","Colorado","5610349","*****"
"0400000US09","Connecticut","3575074","*****"
"0400000US10","Delaware","957248","*****"
"0400000US11","District of Columbia","692683","*****"
"0400000US12","Florida","20901636","*****"
"0400000US13","Georgia","10403847","*****"
"0400000US15","Hawaii","1422094","*****"
"0400000US16","Idaho","1717750","*****"
"0400000US17","Illinois","12770631","*****"
"0400000US18","Indiana","6665703","*****"
"0400000US19","Iowa","3139508","*****"
"0400000US20","Kansas","2910652","*****"
"0400000US21","Kentucky","4449052","*****"
"0400000US22","Louisiana","4664362","*****"
"0400000US23","Maine","1335492","*****"
"0400000US24","Maryland","6018848","*****"
"0400000US25","Massachusetts","6850553","*****"
"0400000US26","Michigan","9965265","*****"
"0400000US27","Minnesota","5563378","*****"
"0400000US28","Mississippi","2984418","*****"
"0400000US29","Missouri","6104910","*****"
"0400000US30","Montana","1050649","*****"
"0400000US31","Nebraska","1914571","*****"
"0400000US32","Nevada","2972382","*****"
"0400000US33","New Hampshire","1348124","*****"
"0400000US34","New Jersey","8878503","*****"
"0400000US35","New Mexico","2092454","*****"
"0400000US36","New York","19572319","*****"
"0400000US37","North Carolina","10264876","*****"
"0400000US38","North Dakota","756717","*****"
"0400000US39","Ohio","11655397","*****"
"0400000US40","Oklahoma","3932870","*****"
"0400000US41","Oregon","4129803","*****"
"0400000US42","Pennsylvania","12791530","*****"
"0400000US44","Rhode Island","1057231","*****"
"0400000US45","South Carolina","5020806","*****"
"0400000US46","South Dakota","870638","*****"
"0400000US47","Tennessee","6709356","*****"
"0400000US48","Texas","28260856","*****"
"0400000US49","Utah","3096848","*****"
"0400000US50","Vermont","624313","*****"
"0400000US51","Virginia","8454463","*****"
"0400000US53","Washington","7404107","*****"
"0400000US54","West Virginia","1817305","*****"
"0400000US55","Wisconsin","5790716","*****"
"0400000US56","Wyoming","581024","*****"
"0400000US72","Puerto Rico","3318447","*****"
